cpf,nome,endereco,complemento,bairro,cidade,estado,cep,nascimento,idade,genero,limite-credito,volume-compras,primeira-compra
1471156710,"Erica Carvalho","Rua Iriquitia",,Jardins,"Sao Paulo",SP,80012212,1990-09-01,27,F,170000,245000,0
19290992743,"Fernando Cavalcante","Rua Dois de Fevereiro",,"Agua Santa","Rio de Janeiro",RJ,22000000,2000-02-12,18,M,100000,200000,1
2600586709,"Cesar Teixeira","Rua Conde de Bonfim",,Tijuca,"Rio de Janeiro",RJ,22020001,2000-03-12,18,M,120000,220000,0
3623344710,"Marcos Nogueira","Av. Pastor Martin Luther King Junior",,Inhauma,"Rio de Janeiro",RJ,22002012,1995-01-13,23,M,110000,220000,1
492472718,"Eduardo Jorge","Rua Volta Grande",,Tijuca,"Rio de Janeiro",RJ,22012002,1994-07-19,23,M,75000,95000,1
50534475787,"Abel Silva","Rua Humaita",,Humaita,"Rio de Janeiro",RJ,22000212,1995-09-11,22,M,170000,260000,0
5576228758,"Petra Oliveira","Rua Benicio de Abreu",,Lapa,"Sao Paulo",SP,88192029,1995-11-14,22,F,70000,160000,1
5648641702,"Paulo Cesar Mattos","Rua Helio Beltrao",,Tijuca,"Rio de Janeiro",RJ,21002020,1991-08-30,26,M,120000,220000,0
5840119709,"Gabriel Araujo","Rua Manuel de Oliveira",,"Santo Amaro","Sao Paulo",SP,80010221,1985-03-16,32,M,140000,210000,1
7771579779,"Marcelo Mattos","Rua Eduardo Luis Lopes",,Bras,"Sao Paulo",SP,88202912,1992-03-25,25,M,120000,200000,1
8502682733,"Valdeci da Silva","Rua Srg. Edison de Oliveira",,Jardins,"Sao Paulo",SP,82122020,1995-10-07,22,M,110000,190000,0
8719655770,"Carlos Eduardo","Av. Gen. Guedes da Fontoura",,Jardins,"Sao Paulo",SP,81192002,1983-12-20,34,M,200000,240000,0
9283760794,"Edson Meilelles","Rua Pinto de Azevedo",,"Cidade Nova","Rio de Janeiro",RJ,22002002,1995-10-07,22,M,150000,250000,1
94387575700,"Walber Lontra","Rua Cel. Almeida",,Piedade,"Rio de Janeiro",RJ,22000201,1989-06-20,28,M,60000,120000,1
95939180787,"Fabio Carvalho","Rua dos Jacarandas da Peninsula",,"Barra da Tijuca","Rio de Janeiro",RJ,22002020,1992-01-05,16,M,90000,180000,1
